split,n,train_pearson,val_pearson,train_spearman,val_spearman,k
resnet_leaf_count,201,-0.6787129987054242,-0.7789430735282166,-0.4840917548025311,-0.470623368492881,35
cifar_densenet_average_branching_factor,201,-0.0079412494895473,-0.0281510862809305,0.3101426307348323,0.3441167319200396,35
cifar_densenet_colless_index,201,-0.8646743336745507,-0.9102305421846932,-0.3739265393716312,-0.3894294676181362,35
cifar_densenet_average_colless_index,201,-0.6294443031170752,-0.5803763855076964,-0.7264919278859012,-0.7806618220719843,35
cifar_densenet_sackin_index,201,-0.7787205080070588,-0.8519265684762246,-0.5909177056422867,-0.5606837670334804,35
cifar_densenet_average_sackin_index,201,-0.6503258366316718,-0.6120277813986928,-0.8799235106940505,-0.9307358956079514,35
cifar_densenet_leaf_count,201,-0.2650669888194892,-0.321596796574732,0.3987370797188205,0.4789650959179032,35
cifar_resnet_average_branching_factor,201,-0.1900485149865187,-0.1865541570288724,-0.2098038533603519,-0.1954554665319691,35
cifar_resnet_colless_index,201,-0.7364217986015603,-0.8288812831968017,-0.4871539578161148,-0.4573868800424415,35
cifar_resnet_average_colless_index,201,-0.1322671148584339,-0.1450211803907987,-0.1873268934740147,-0.1659541328283408,35
cifar_resnet_sackin_index,201,-0.7577945277862391,-0.843997324609771,-0.8904054881406614,-0.8633996509957393,35
cifar_resnet_average_sackin_index,201,-0.6927957151775287,-0.5897149008063206,-0.8722282174501463,-0.84266720659222,35
cifar_resnet_leaf_count,201,-0.6787129987054242,-0.7789430735282166,-0.4840917548025311,-0.470623368492881,35
full_average_branching_factor,402,-0.0612968036247905,-0.0632752923669702,0.030919738820133,0.080771313894786,40
full_colless_index,402,-0.7833180641197097,-0.8570556148994012,-0.3636729208362892,-0.3705863460195144,40
full_average_colless_index,402,-0.2972619220392959,-0.2924190047429733,-0.4150204945979072,-0.4693202701261439,40
full_sackin_index,402,-0.753456619486655,-0.8333617442295752,-0.6495647856785584,-0.5993501181443113,40
full_average_sackin_index,402,-0.6610756743084718,-0.5956839802504902,-0.8707937428780916,-0.8874534194851789,40
