,True Label,True Class,count,Proportion,Coverage
961,961,dough,162,0.0006175192498284669,0.12
634,634,lumbermill,161,0.0006137074026073035,0.1193
57,57,garter snake,160,0.0006098955553861401,0.1185
626,626,lighter,158,0.0006022718609438133,0.117
452,452,bonnet,156,0.0005946481665014867,0.1156
711,711,perfume,156,0.0005946481665014867,0.1156
10,10,brambling,156,0.0005946481665014867,0.1156
329,329,sea cucumber,156,0.0005946481665014867,0.1156
127,127,white stork,155,0.0005908363192803233,0.1148
499,499,cleaver,155,0.0005908363192803233,0.1388
760,760,refrigerator,154,0.0005870244720591599,0.1141
102,102,echidna,154,0.0005870244720591599,0.1141
643,643,mask,153,0.0005832126248379965,0.1133
905,905,window shade,150,0.0005717770831745063,0.1111
374,374,langur,149,0.0005679652359533429,0.1104
954,954,banana,149,0.0005679652359533429,0.1104
902,902,whistle,148,0.0005641533887321797,0.1096
728,728,plastic bag,148,0.0005641533887321797,0.1323
588,588,hamper,147,0.0005603415415110163,0.1089
901,901,whiskey jug,146,0.0005565296942898529,0.1321
830,830,stretcher,145,0.0005527178470686895,0.1074
795,795,ski,145,0.0005527178470686895,0.1074
182,182,Border terrier,144,0.0005489059998475261,0.1067
696,696,paintbrush,144,0.0005489059998475261,0.1067
164,164,bluetick,143,0.0005450941526263627,0.1206
519,519,crate,143,0.0005450941526263627,0.1059
323,323,monarch,142,0.0005412823054051993,0.1052
303,303,long-horned beetle,141,0.000537470458184036,0.1044
336,336,marmot,141,0.000537470458184036,0.1044
555,555,fire engine,140,0.0005336586109628726,0.1037
914,914,yawl,140,0.0005336586109628726,0.1115
767,767,rubber eraser,139,0.0005298467637417092,0.103
794,794,shower curtain,138,0.0005260349165205459,0.1022
943,943,cucumber,137,0.0005222230692993825,0.1015
492,492,chest,136,0.0005184112220782191,0.1007
831,831,studio couch,136,0.0005184112220782191,0.1007
23,23,vulture,134,0.0005107875276358924,0.0993
755,755,radio telescope,134,0.0005107875276358924,0.0993
337,337,beaver,134,0.0005107875276358924,0.0993
942,942,butternut squash,134,0.0005107875276358924,0.0993
160,160,Afghan hound,131,0.0004993519859724022,0.097
411,411,apron,128,0.0004879164443089121,0.0948
557,557,flagpole,128,0.0004879164443089121,0.0948
821,821,steel arch bridge,127,0.0004841045970877487,0.1056
215,215,Brittany spaniel,125,0.000476480902645422,0.0926
483,483,castle,125,0.000476480902645422,0.0926
389,389,barracouta,125,0.000476480902645422,0.0926
