,True Label,True Class,count,Proportion,Coverage
251,251,dalmatian,209,0.0008099958918868642,0.1548
743,745,projector,208,0.0008061203134567834,0.1541
759,761,remote control,208,0.0008061203134567834,0.1541
530,530,digital clock,208,0.0008061203134567834,0.1541
842,844,switch,207,0.0008022447350267027,0.1533
395,395,gar,204,0.0007906179997364607,0.1511
606,608,jean,204,0.0007906179997364607,0.1511
561,562,fountain,201,0.0007789912644462186,0.1489
667,669,mosquito net,200,0.0007751156860161379,0.1481
850,852,tennis ball,200,0.0007751156860161379,0.1481
425,425,barn,198,0.0007673645291559765,0.1467
5,5,electric ray,197,0.0007634889507258958,0.1459
589,591,handkerchief,196,0.0007596133722958152,0.1452
787,789,shoji,196,0.0007596133722958152,0.1509
459,459,brassiere,194,0.0007518622154356538,0.1437
729,731,plunger,194,0.0007518622154356538,0.1488
776,778,scale,193,0.000747986637005573,0.143
639,641,maraca,192,0.0007441110585754924,0.1422
755,757,recreational vehicle,190,0.000736359901715331,0.1407
426,426,barometer,189,0.0007324843232852503,0.1513
678,680,nipple,189,0.0007324843232852503,0.14
551,551,face powder,187,0.000724733166425089,0.1554
544,544,Dutch oven,186,0.0007208575879950082,0.1378
631,633,loupe,185,0.0007169820095649275,0.137
862,864,tow truck,184,0.0007131064311348469,0.1363
444,444,bicycle-built-for-two,184,0.0007131064311348469,0.1363
703,705,passenger car,183,0.0007092308527047662,0.1356
365,365,orangutan,182,0.0007053552742746855,0.1348
619,621,lawn mower,179,0.0006937285389844435,0.1326
781,783,screw,177,0.000685977382124282,0.1311
360,360,otter,177,0.000685977382124282,0.1311
964,969,eggnog,176,0.0006821018036942013,0.1416
650,652,military uniform,173,0.0006704750684039593,0.1281
163,163,bloodhound,171,0.000662723911543798,0.1267
234,234,Rottweiler,171,0.000662723911543798,0.1267
462,462,broom,171,0.000662723911543798,0.1267
507,507,combination lock,170,0.0006588483331137172,0.1343
633,635,magnetic compass,169,0.0006549727546836365,0.1402
671,673,mouse,168,0.0006510971762535558,0.1244
333,333,hamster,167,0.0006472215978234752,0.1237
596,598,home theater,164,0.0006355948625332331,0.1215
434,434,bath towel,164,0.0006355948625332331,0.1215
109,109,brain coral,164,0.0006355948625332331,0.1215
85,85,quail,163,0.0006317192841031524,0.1207
756,758,reel,163,0.0006317192841031524,0.1207
399,399,abaya,162,0.0006278437056730717,0.12
956,961,dough,162,0.0006278437056730717,0.12
632,634,lumbermill,161,0.000623968127242991,0.1193
57,57,garter snake,160,0.0006200925488129103,0.1185
624,626,lighter,157,0.0006084658135226683,0.1163
329,329,sea cucumber,156,0.0006045902350925876,0.1156
10,10,brambling,156,0.0006045902350925876,0.1156
709,711,perfume,156,0.0006045902350925876,0.1156
452,452,bonnet,156,0.0006045902350925876,0.1156
499,499,cleaver,155,0.0006007146566625068,0.1388
127,127,white stork,155,0.0006007146566625068,0.1148
102,102,echidna,154,0.0005968390782324262,0.1141
758,760,refrigerator,154,0.0005968390782324262,0.1141
641,643,mask,153,0.0005929634998023455,0.1133
900,905,window shade,150,0.0005813367645121035,0.1111
374,374,langur,149,0.0005774611860820228,0.1104
949,954,banana,149,0.0005774611860820228,0.1104
726,728,plastic bag,148,0.000573585607651942,0.1323
586,588,hamper,147,0.0005697100292218613,0.1089
897,901,whiskey jug,146,0.0005658344507917807,0.1321
793,795,ski,145,0.0005619588723617,0.1074
694,696,paintbrush,144,0.0005580832939316193,0.1067
182,182,Border terrier,144,0.0005580832939316193,0.1067
828,830,stretcher,144,0.0005580832939316193,0.1067
164,164,bluetick,143,0.0005542077155015386,0.1206
519,519,crate,143,0.0005542077155015386,0.1059
323,323,monarch,142,0.0005503321370714579,0.1052
303,303,long-horned beetle,141,0.0005464565586413773,0.1044
336,336,marmot,141,0.0005464565586413773,0.1044
555,555,fire engine,140,0.0005425809802112965,0.1037
909,914,yawl,140,0.0005425809802112965,0.1115
765,767,rubber eraser,138,0.0005348298233511351,0.1022
792,794,shower curtain,138,0.0005348298233511351,0.1022
938,943,cucumber,137,0.0005309542449210545,0.1015
492,492,chest,136,0.0005270786664909738,0.1007
829,831,studio couch,136,0.0005270786664909738,0.1007
337,337,beaver,134,0.0005193275096308124,0.0993
753,755,radio telescope,134,0.0005193275096308124,0.0993
23,23,vulture,134,0.0005193275096308124,0.0993
937,942,butternut squash,134,0.0005193275096308124,0.0993
160,160,Afghan hound,131,0.0005077007743405703,0.097
557,557,flagpole,128,0.0004960740390503283,0.0948
411,411,apron,128,0.0004960740390503283,0.0948
819,821,steel arch bridge,127,0.0004921984606202476,0.1056
215,215,Brittany spaniel,125,0.0004844473037600862,0.0926
483,483,castle,125,0.0004844473037600862,0.0926
389,389,barracouta,125,0.0004844473037600862,0.0926
750,752,racket,124,0.0004805717253300055,0.0919
255,255,Leonberg,124,0.0004805717253300055,0.0919
493,493,chiffonier,123,0.0004766961468999248,0.0911
901,906,Windsor tie,123,0.0004766961468999248,0.0974
898,903,wig,123,0.0004766961468999248,0.0911
738,740,power drill,122,0.0004728205684698441,0.1273
427,427,barrel,122,0.0004728205684698441,0.0904
769,771,safe,122,0.0004728205684698441,0.1131
773,775,sarong,122,0.0004728205684698441,0.0904
