,Class,Count,Count Majority,Count Homogeneous
464,buckle,10,10,10
465,bulletproof vest,2,1,1
466,bullet train,1,1,1
467,butcher shop,1,1,1
468,cab,3,3,3
469,caldron,2,2,2
470,candle,1,1,1
471,cannon,1,1,1
472,canoe,13,12,12
473,can opener,14,14,14
474,cardigan,5,5,5
475,car mirror,1,1,1
476,carousel,1,1,1
477,carpenter's kit,7,7,7
478,carton,4,4,4
479,car wheel,12,12,12
480,cash machine,2,2,2
481,cassette,19,19,19
482,cassette player,9,9,9
483,castle,3,3,3
484,catamaran,11,11,11
485,CD player,21,21,21
486,cello,7,7,7
487,cellular telephone,16,16,16
488,chain,17,17,17
489,chainlink fence,8,8,8
490,chain mail,2,2,2
491,chain saw,1,1,1
492,chest,3,3,3
493,chiffonier,2,2,2
494,chime,7,6,6
495,china cabinet,2,2,2
496,Christmas stocking,1,1,1
497,church,8,8,8
498,cinema,2,2,2
499,cleaver,2,2,2
500,cliff dwelling,1,1,1
501,cloak,5,5,5
502,clog,13,13,13
503,cocktail shaker,2,2,2
504,coffee mug,10,10,10
505,coffeepot,27,27,27
506,coil,16,15,15
507,combination lock,1,1,1
508,computer keyboard,24,24,24
509,confectionery,11,11,11
510,container ship,1,1,1
511,convertible,6,6,6
512,corkscrew,2,2,2
513,cornet,4,4,4
514,cowboy boot,3,2,2
515,cowboy hat,16,16,16
516,cradle,14,14,14
517,crane,6,5,5
518,crash helmet,3,3,3
519,crate,2,2,2
520,crib,17,17,17
521,Crock Pot,1,1,1
522,croquet ball,1,1,1
523,crutch,1,1,1
524,cuirass,24,24,24
525,dam,1,1,1
526,desk,14,14,14
527,desktop computer,13,13,13
528,dial telephone,2,2,2
529,diaper,3,3,3
530,digital clock,3,3,3
531,digital watch,21,21,21
532,dining table,6,6,6
533,dishrag,1,1,1
534,dishwasher,4,3,3
535,disk brake,3,3,3
536,dock,9,9,9
537,dogsled,7,7,7
538,dome,11,11,11
539,doormat,4,4,4
540,drilling platform,1,1,1
541,drum,7,7,7
542,drumstick,6,6,6
543,dumbbell,26,25,25
544,Dutch oven,4,4,4
545,electric fan,1,1,1
546,electric guitar,11,11,11
547,electric locomotive,3,3,3
548,entertainment center,2,2,2
549,envelope,10,10,10
550,espresso maker,3,3,3
551,face powder,2,2,2
552,feather boa,1,1,1
553,file,3,3,3
554,fireboat,1,1,1
555,fire engine,2,2,2
556,fire screen,3,2,2
557,flagpole,4,4,4
558,flute,7,7,7
559,folding chair,1,1,1
560,football helmet,2,2,2
561,forklift,1,1,1
562,fountain,3,2,2
563,fountain pen,4,4,4
564,four-poster,1,1,1
565,freight car,1,1,1
566,French horn,1,1,1
567,frying pan,10,10,10
568,fur coat,1,1,1
569,garbage truck,1,1,1
570,gasmask,5,5,5
571,gas pump,2,2,2
572,goblet,1,1,1
573,go-kart,2,2,2
574,golf ball,1,1,1
575,golfcart,1,1,1
576,gondola,1,1,1
577,gong,44,44,44
578,gown,17,17,17
579,grand piano,3,3,3
580,greenhouse,1,1,1
581,grille,7,6,6
582,grocery store,12,12,12
583,guillotine,0,0,0
584,hair slide,14,14,14
585,hair spray,8,8,8
586,half track,1,1,1
587,hammer,4,4,4
588,hamper,6,6,6
589,hand blower,6,6,6
590,hand-held computer,2,2,2
591,handkerchief,3,3,3
592,hard disc,1,1,1
593,harmonica,4,4,4
594,harp,1,1,1
595,harvester,16,16,16
596,hatchet,10,10,10
597,holster,2,2,2
598,home theater,5,5,5
