dataset,split,model,k,epoch,layer,thresh,thresh_mode,total_persistence,train_acc,val_acc
mnist,val,resnet,20,101,a1,0.0,0.0,9.565996185308698,0.9998666666666667,0.9797
mnist,val,resnet,20,127,a1,0.0,0.0,10.483765577550088,0.9999666666666667,0.9796
mnist,val,resnet,20,152,a1,0.0,0.0,10.330058396869028,0.9999833333333333,0.9801
mnist,val,resnet,20,178,a1,0.0,0.0,11.134324435724785,0.9999833333333333,0.9807
mnist,val,resnet,20,21,a1,0.0,0.0,7.781308786504894,0.9854333333333334,0.9708
mnist,val,resnet,20,47,a1,0.0,0.0,7.876204250096954,0.9969,0.9766
mnist,val,resnet,20,72,a1,0.0,0.0,8.365039730985956,0.9984166666666666,0.9769
mnist,val,resnet,20,98,a1,0.0,0.0,9.417076658985515,0.9998166666666667,0.9801
cifar,train,vgg,20,122,a1,0.0,0.0,7.257229730483147,0.99832,0.9104
cifar,train,vgg,20,159,a1,0.0,0.0,9.450882643458556,0.97552,0.8885
cifar,train,vgg,20,184,a1,0.0,0.0,10.096863768994837,0.98866,0.9017
cifar,train,vgg,20,28,a1,0.0,0.0,10.712285131319739,0.96054,0.8888
cifar,train,vgg,20,53,a1,0.0,0.0,9.673674017190962,0.98274,0.8952
cifar,train,vgg,20,79,a1,0.0,0.0,9.675491183995518,0.9661,0.8861
cifar,trainUval,vgg,20,103,a1,0.0,0.0,19.471959173677476,0.9919,0.9046
cifar,trainUval,vgg,20,129,a1,0.0,0.0,18.986593723297084,0.99988,0.914
cifar,trainUval,vgg,20,154,a1,0.0,0.0,13.784296289087969,0.96618,0.8833
cifar,trainUval,vgg,20,17,a1,0.0,0.0,17.11845855279814,0.85964,0.8248
cifar,trainUval,vgg,20,23,a1,0.0,0.0,14.318786174827451,0.92158,0.8619
cifar,trainUval,vgg,20,49,a1,0.0,0.0,16.550911128521015,0.97312,0.8889
cifar,trainUval,vgg,20,74,a1,0.0,0.0,18.29077622494942,0.94632,0.8662
cifar,trainUval,vgg,20,9,a1,0.0,0.0,16.285584182652485,0.82358,0.7887
cifar,val,vgg,20,124,a1,0.0,0.0,20.222201399505067,0.99902,0.9109
cifar,val,vgg,20,14,a1,0.0,0.0,13.437337654962114,0.82508,0.7955
cifar,val,vgg,20,175,a1,0.0,0.0,13.92915652692352,0.98272,0.8961
cifar,val,vgg,20,1,a1,0.0,0.0,11.106905311346054,0.38534,0.389
cifar,val,vgg,20,44,a1,0.0,0.0,13.807816818399715,0.95624,0.8817
cifar,val,vgg,20,6,a1,0.0,0.0,12.328115864715556,0.75406,0.7358
cifar,val,vgg,20,95,a1,0.0,0.0,15.417237900207226,0.98164,0.8885
mnist,train,vgg,20,11,a1,0.0,0.0,13.987660005823273,0.8726166666666667,0.8824
mnist,train,vgg,20,145,a1,0.0,0.0,10.021856208555157,0.9996,0.9845
mnist,train,vgg,20,170,a1,0.0,0.0,10.38602713696308,0.9985666666666667,0.9843
mnist,train,vgg,20,196,a1,0.0,0.0,2.3280070233740844,0.9999666666666667,0.9853
mnist,train,vgg,20,3,a1,0.0,0.0,2.0125575065612793,0.15185,0.1579
