dataset,split,model,k,epoch,layer,thresh,thresh_mode,total_persistence,train_acc,val_acc
cifar,val,densenet,20,193,a1,1e-06,1e-06,11.980640740470932,0.96282,0.8354
cifar,val,densenet,20,37,a1,1e-06,1e-06,14.059529777260522,0.89244,0.8095
cifar,val,densenet,20,62,a1,1e-06,1e-06,13.125950017721529,0.9943,0.8471
cifar,val,densenet,20,88,a1,1e-06,1e-06,12.409298533506274,0.95492,0.836
mnist,train,densenet,20,112,a1,1e-06,1e-06,9.233560056156563,0.9987666666666667,0.9715
mnist,train,densenet,20,138,a1,1e-06,1e-06,8.400878247114633,0.9993,0.9718
mnist,train,densenet,20,163,a1,1e-06,1e-06,6.934514210850935,0.9997333333333334,0.9729
mnist,train,densenet,20,189,a1,1e-06,1e-06,4.965298591333067,0.9999666666666667,0.972
mnist,train,densenet,20,32,a1,1e-06,1e-06,8.873627158709496,0.9686166666666667,0.958
mnist,train,densenet,20,58,a1,1e-06,1e-06,9.311215329214065,0.9885,0.9669
mnist,train,densenet,20,83,a1,1e-06,1e-06,9.443086243270564,0.9946333333333334,0.9695
mnist,trainUval,densenet,20,108,a1,1e-06,1e-06,9.202652944563603,0.9985833333333334,0.972
mnist,trainUval,densenet,20,133,a1,1e-06,1e-06,9.181067522298264,0.9993,0.9719
mnist,trainUval,densenet,20,159,a1,1e-06,1e-06,9.582994971311123,0.9996666666666667,0.972
mnist,trainUval,densenet,20,184,a1,1e-06,1e-06,9.982251064543561,0.9999166666666667,0.9727
mnist,trainUval,densenet,20,28,a1,1e-06,1e-06,9.738567345258843,0.96485,0.9545
mnist,trainUval,densenet,20,53,a1,1e-06,1e-06,9.34104528887454,0.9872666666666666,0.9675
mnist,trainUval,densenet,20,79,a1,1e-06,1e-06,9.510770028324494,0.99305,0.9695
mnist,val,densenet,20,103,a1,1e-06,1e-06,8.961299413319864,0.9984166666666666,0.9709
mnist,val,densenet,20,129,a1,1e-06,1e-06,9.65024412892484,0.9993,0.9719
mnist,val,densenet,20,154,a1,1e-06,1e-06,9.00727139195164,0.9995,0.9729
mnist,val,densenet,20,17,a1,1e-06,1e-06,8.825139399668842,0.95195,0.9436
mnist,val,densenet,20,23,a1,1e-06,1e-06,9.51495809777407,0.9625833333333333,0.9534
mnist,val,densenet,20,49,a1,1e-06,1e-06,9.502007995802273,0.9858166666666667,0.9663
mnist,val,densenet,20,74,a1,1e-06,1e-06,8.929184237916168,0.9912166666666666,0.9681
mnist,val,densenet,20,9,a1,1e-06,1e-06,8.801623469953483,0.9043166666666667,0.8994
cifar,train,resnet,20,124,a1,1e-06,1e-06,5.771972865821716,0.99494,0.8561
cifar,train,resnet,20,14,a1,1e-06,1e-06,15.422224219487823,0.77578,0.7448
cifar,train,resnet,20,175,a1,1e-06,1e-06,8.245659897115033,0.95466,0.8308
cifar,train,resnet,20,1,a1,1e-06,1e-06,32.30237471452165,0.492,0.4807
cifar,train,resnet,20,44,a1,1e-06,1e-06,8.29082452341035,0.90294,0.8153
cifar,train,resnet,20,6,a1,1e-06,1e-06,11.723070446029851,0.74282,0.7149
cifar,train,resnet,20,95,a1,1e-06,1e-06,10.630147054751639,0.94208,0.8259
cifar,trainUval,resnet,20,11,a1,1e-06,1e-06,14.855459423166394,0.74326,0.709
cifar,trainUval,resnet,20,145,a1,1e-06,1e-06,14.843077326633036,0.99974,0.8628
cifar,trainUval,resnet,20,170,a1,1e-06,1e-06,11.107600797250221,0.95514,0.8384
cifar,trainUval,resnet,20,196,a1,1e-06,1e-06,12.399253345434104,0.96906,0.8413
cifar,trainUval,resnet,20,3,a1,1e-06,1e-06,17.20360225337572,0.6326,0.617
cifar,trainUval,resnet,20,65,a1,1e-06,1e-06,18.35095693014665,0.98704,0.8446
cifar,trainUval,resnet,20,90,a1,1e-06,1e-06,11.426821278088198,0.93574,0.8279
cifar,val,resnet,20,115,a1,1e-06,1e-06,12.647419234195581,0.9851,0.8507
cifar,val,resnet,20,140,a1,1e-06,1e-06,14.56816891617023,0.99954,0.8637
cifar,val,resnet,20,166,a1,1e-06,1e-06,11.75076464805025,0.93758,0.8237
cifar,val,resnet,20,191,a1,1e-06,1e-06,11.05201495372728,0.96054,0.8342
cifar,val,resnet,20,35,a1,1e-06,1e-06,10.500478949959543,0.855,0.7924
cifar,val,resnet,20,60,a1,1e-06,1e-06,17.047679043036013,0.97698,0.8435
cifar,val,resnet,20,86,a1,1e-06,1e-06,13.516142838558658,0.93706,0.8286
mnist,train,resnet,20,110,a1,1e-06,1e-06,4.2065522694436766,0.99995,0.9798
mnist,train,resnet,20,136,a1,1e-06,1e-06,3.570323300595824,0.99995,0.9799
mnist,train,resnet,20,161,a1,1e-06,1e-06,3.0563829726244762,0.9999666666666667,0.9794
mnist,train,resnet,20,187,a1,1e-06,1e-06,0.9819619451823769,1.0,0.9805
mnist,train,resnet,20,30,a1,1e-06,1e-06,10.631168183002217,0.9872,0.9723
mnist,train,resnet,20,56,a1,1e-06,1e-06,8.270909879802844,0.9979166666666667,0.9776
mnist,train,resnet,20,81,a1,1e-06,1e-06,6.268064032490891,0.9992166666666666,0.9781
mnist,trainUval,resnet,20,106,a1,1e-06,1e-06,9.63791434836773,0.9999,0.979
mnist,trainUval,resnet,20,131,a1,1e-06,1e-06,11.082619871309369,0.99995,0.9795
mnist,trainUval,resnet,20,157,a1,1e-06,1e-06,10.92740394486021,0.9999666666666667,0.9796
mnist,trainUval,resnet,20,182,a1,1e-06,1e-06,10.958876369796542,1.0,0.9807
mnist,trainUval,resnet,20,26,a1,1e-06,1e-06,10.91686156660095,0.9872333333333333,0.972
mnist,trainUval,resnet,20,51,a1,1e-06,1e-06,9.358690336125221,0.9974,0.9764
mnist,trainUval,resnet,20,77,a1,1e-06,1e-06,8.291566566252968,0.9990333333333333,0.9775
mnist,val,resnet,20,101,a1,1e-06,1e-06,9.565988675138819,0.9998666666666667,0.9797
mnist,val,resnet,20,127,a1,1e-06,1e-06,10.483757709757782,0.9999666666666667,0.9796
mnist,val,resnet,20,152,a1,1e-06,1e-06,10.330050767488217,0.9999833333333333,0.9801
mnist,val,resnet,20,178,a1,1e-06,1e-06,11.13431895210389,0.9999833333333333,0.9807
mnist,val,resnet,20,21,a1,1e-06,1e-06,7.781307117603944,0.9854333333333334,0.9708
mnist,val,resnet,20,47,a1,1e-06,1e-06,7.876196501519338,0.9969,0.9766
mnist,val,resnet,20,72,a1,1e-06,1e-06,8.365032816869679,0.9984166666666666,0.9769
mnist,val,resnet,20,98,a1,1e-06,1e-06,9.41706819514578,0.9998166666666667,0.9801
cifar,train,vgg,20,122,a1,1e-06,1e-06,7.2572290152311325,0.99832,0.9104
cifar,train,vgg,20,159,a1,1e-06,1e-06,9.450882405042705,0.97552,0.8885
cifar,train,vgg,20,184,a1,1e-06,1e-06,10.096863768994837,0.98866,0.9017
cifar,train,vgg,20,28,a1,1e-06,1e-06,10.712285131319739,0.96054,0.8888
cifar,train,vgg,20,53,a1,1e-06,1e-06,9.673674017190962,0.98274,0.8952
cifar,train,vgg,20,79,a1,1e-06,1e-06,9.675490945577963,0.9661,0.8861
cifar,trainUval,vgg,20,103,a1,1e-06,1e-06,19.47195881605149,0.9919,0.9046
cifar,trainUval,vgg,20,129,a1,1e-06,1e-06,18.98659336566925,0.99988,0.914
cifar,trainUval,vgg,20,154,a1,1e-06,1e-06,13.784296289087969,0.96618,0.8833
cifar,trainUval,vgg,20,17,a1,1e-06,1e-06,17.11845855279814,0.85964,0.8248
cifar,trainUval,vgg,20,23,a1,1e-06,1e-06,14.318785936410237,0.92158,0.8619
cifar,trainUval,vgg,20,49,a1,1e-06,1e-06,16.550911009311733,0.97312,0.8889
cifar,trainUval,vgg,20,74,a1,1e-06,1e-06,18.29077586732746,0.94632,0.8662
cifar,trainUval,vgg,20,9,a1,1e-06,1e-06,16.285584063443252,0.82358,0.7887
cifar,val,vgg,20,124,a1,1e-06,1e-06,20.22220104187727,0.99902,0.9109
cifar,val,vgg,20,14,a1,1e-06,1e-06,13.437337654962114,0.82508,0.7955
cifar,val,vgg,20,175,a1,1e-06,1e-06,13.92915652692352,0.98272,0.8961
cifar,val,vgg,20,1,a1,1e-06,1e-06,11.106905311346054,0.38534,0.389
cifar,val,vgg,20,44,a1,1e-06,1e-06,13.807816818399715,0.95624,0.8817
cifar,val,vgg,20,6,a1,1e-06,1e-06,12.328115864715556,0.75406,0.7358
cifar,val,vgg,20,95,a1,1e-06,1e-06,15.417237900207226,0.98164,0.8885
mnist,train,vgg,20,11,a1,1e-06,1e-06,13.987660005823273,0.8726166666666667,0.8824
mnist,train,vgg,20,145,a1,1e-06,1e-06,10.021856089345874,0.9996,0.9845
mnist,train,vgg,20,170,a1,1e-06,1e-06,10.386026898544515,0.9985666666666667,0.9843
mnist,train,vgg,20,196,a1,1e-06,1e-06,2.3280070233740844,0.9999666666666667,0.9853
mnist,train,vgg,20,3,a1,1e-06,1e-06,2.0125575065612793,0.15185,0.1579
mnist,train,vgg,20,65,a1,1e-06,1e-06,16.284107167121704,0.9921333333333333,0.9813
mnist,train,vgg,20,90,a1,1e-06,1e-06,16.206368883918174,0.99305,0.9794
mnist,trainUval,vgg,20,115,a1,1e-06,1e-06,15.010420103975775,0.9983666666666666,0.9834
mnist,trainUval,vgg,20,140,a1,1e-06,1e-06,12.96850537264163,0.9996,0.9842
mnist,trainUval,vgg,20,166,a1,1e-06,1e-06,11.452277003132629,0.9986166666666667,0.9837
mnist,trainUval,vgg,20,191,a1,1e-06,1e-06,18.22077702176375,0.9985666666666667,0.9817
mnist,trainUval,vgg,20,35,a1,1e-06,1e-06,14.80477939968931,0.9737666666666667,0.9686
mnist,trainUval,vgg,20,60,a1,1e-06,1e-06,15.681420100285443,0.9914833333333334,0.9811
mnist,trainUval,vgg,20,86,a1,1e-06,1e-06,14.728752459777326,0.9894333333333334,0.979
mnist,val,vgg,20,110,a1,1e-06,1e-06,14.248971761786379,0.99645,0.9838
