dataset,split,model,k,epoch,layer,thresh,thresh_mode,total_persistence,minima,cps,train_acc,val_acc
cifar,val,resnet,20,64,a1,1e-06,1e-06,19.64939352715635,18,35,0.98522,0.8418
cifar,val,resnet,20,171,a1,1e-06,1e-06,12.092353780805297,41,81,0.95538,0.8321
cifar,val,resnet,20,174,a1,1e-06,1e-06,11.529446213568917,43,85,0.94108,0.8231
mnist,train,densenet,20,42,a1,1e-06,1e-06,9.60546478153583,154,297,0.98115,0.9653
mnist,train,densenet,20,93,a1,1e-06,1e-06,9.241270473061377,127,241,0.9971,0.9708
mnist,train,densenet,20,28,a1,1e-06,1e-06,8.802226840284675,151,290,0.96485,0.9545
mnist,train,densenet,20,129,a1,1e-06,1e-06,8.451059032515445,118,229,0.9993,0.9719
mnist,trainUval,densenet,20,181,a1,1e-06,1e-06,9.643124267105918,100,196,0.9998833333333333,0.9726
mnist,trainUval,densenet,20,135,a1,1e-06,1e-06,9.0007941291434,143,276,0.99925,0.9721
mnist,trainUval,densenet,20,29,a1,1e-06,1e-06,9.439340250770783,181,348,0.9647666666666667,0.9543
mnist,trainUval,densenet,20,110,a1,1e-06,1e-06,9.1506171915413,134,257,0.9986333333333334,0.9713
mnist,val,densenet,20,114,a1,1e-06,1e-06,9.184596741284167,45,83,0.9989666666666667,0.9715
mnist,val,densenet,20,158,a1,1e-06,1e-06,9.053403877003802,41,78,0.9995666666666667,0.973
mnist,val,densenet,20,58,a1,1e-06,1e-06,8.780852111594868,52,99,0.9885,0.9669
mnist,val,densenet,20,157,a1,1e-06,1e-06,9.21109893156381,42,79,0.9996333333333334,0.972
cifar,train,densenet,20,169,a1,1e-06,1e-06,7.701315516226487,142,279,0.95996,0.838
cifar,train,densenet,20,148,a1,1e-06,1e-06,2.3654340581827,406,787,0.9999,0.8731
cifar,train,densenet,20,176,a1,1e-06,1e-06,7.426398792205873,145,284,0.9702,0.8464
cifar,train,densenet,20,126,a1,1e-06,1e-06,4.631091670104524,294,578,0.9986,0.8715
cifar,trainUval,densenet,20,32,a1,1e-06,1e-06,12.015227938178441,168,329,0.85412,0.7742
cifar,trainUval,densenet,20,142,a1,1e-06,1e-06,13.178789055798234,418,814,0.99986,0.8744
cifar,trainUval,densenet,20,108,a1,1e-06,1e-06,12.522963373191942,172,342,0.98402,0.849
cifar,trainUval,densenet,20,85,a1,1e-06,1e-06,11.614514902590827,126,246,0.94394,0.8213
cifar,val,densenet,20,122,a1,1e-06,1e-06,13.747993926066329,62,120,0.9979,0.8621
cifar,val,densenet,20,118,a1,1e-06,1e-06,13.31826054804742,60,117,0.9936,0.8618
cifar,val,densenet,20,112,a1,1e-06,1e-06,13.273326290953264,64,125,0.98932,0.8511
cifar,val,densenet,20,48,a1,1e-06,1e-06,11.503692605542824,41,81,0.94812,0.8284
mnist,train,resnet,20,41,a1,1e-06,1e-06,10.0574739617972,161,314,0.9950833333333333,0.9746
mnist,train,resnet,20,91,a1,1e-06,1e-06,5.232035911035382,89,173,0.9997166666666667,0.9782
mnist,train,resnet,20,163,a1,1e-06,1e-06,2.6956008846779014,58,112,0.9999833333333333,0.9803
mnist,trainUval,resnet,20,0,a1,1e-06,1e-06,19.51739811897278,930,1779,0.09791666666666667,0.0975
mnist,trainUval,resnet,20,116,a1,1e-06,1e-06,10.569670173966074,71,138,0.9999166666666667,0.9796
mnist,trainUval,resnet,20,45,a1,1e-06,1e-06,9.43661685429538,167,329,0.9962166666666666,0.9759
mnist,trainUval,resnet,20,59,a1,1e-06,1e-06,8.412965103173292,158,307,0.9981,0.9776
mnist,val,resnet,20,10,a1,1e-06,1e-06,6.839120710311363,64,126,0.96215,0.9572
mnist,val,resnet,20,23,a1,1e-06,1e-06,7.340619038516593,57,107,0.9862166666666666,0.9719
mnist,val,resnet,20,186,a1,1e-06,1e-06,10.949495589936078,23,44,1.0,0.9797
mnist,val,resnet,20,164,a1,1e-06,1e-06,10.183180800815421,22,43,0.9999833333333333,0.9809
cifar,train,resnet,20,160,a1,1e-06,1e-06,8.891409720150705,106,210,0.94996,0.8359
cifar,train,resnet,20,152,a1,1e-06,1e-06,10.026980351301745,106,209,0.92792,0.8149
cifar,train,resnet,20,185,a1,1e-06,1e-06,8.544815506370924,143,277,0.96144,0.8342
cifar,train,resnet,20,102,a1,1e-06,1e-06,6.990342040379346,88,174,0.96218,0.8388
