Simplification Threshold,Feature ID,Loss Start,Loss End,Feature Type,Persistence,Volume,Homogeneity,Majority Class,Major Class Size,Majority Class Coverage
4.7683579396107234e-07,128,8.344646857949556e-07,0.21869695186580884,saddle-saddle,1.1920917586394353e-07,9,1.0,6,9,0.0013
4.7683579396107234e-07,129,8.106198947643861e-06,0.2187042236000707,saddle-saddle,5.960409907856956e-07,3,1.0,1,3,0.0004
4.7683579396107234e-07,130,2.3007127310847864e-05,0.2187191245284339,saddle-saddle,0.0,2,1.0,1,2,0.0003
4.7683579396107234e-07,131,1.1801649634435307e-05,0.21870791905075748,saddle-saddle,4.7683170123491436e-07,8,1.0,1,8,0.001
4.7683579396107234e-07,132,1.0728830375228426e-06,0.21869719028416057,saddle-saddle,1.1920917586394353e-07,4,1.0,7,4,0.0005
4.7683579396107234e-07,133,7.152555099310121e-07,0.21869683265663298,minima-saddle,1.430509428246296e-06,1,1.0,7,1,0.0001
4.7683579396107234e-07,134,1.1920922133867862e-06,0.21869730949333643,saddle-saddle,2.3841823804104934e-07,31,1.0,7,31,0.0043
4.7683579396107234e-07,135,3.576278118089249e-07,0.21869647502893486,minima-saddle,4.768368739860307e-07,4,1.0,0,4,0.0006
4.7683579396107234e-07,136,3.576278118089249e-07,0.21869647502893486,minima-saddle,2.3841819256631425e-06,1,1.0,7,1,0.0001
4.7683579396107234e-07,137,-0.0,0.21869611740112305,minima-saddle,4.768370445162873e-07,4,1.0,4,4,0.0006
4.7683579396107234e-07,138,8.344646857949556e-07,0.21869695186580884,saddle-saddle,0.0,0,0.0,1,0,0.0
4.7683579396107234e-07,139,5.960462772236497e-07,0.21869671344740027,saddle-saddle,0.0,8,1.0,5,8,0.0013
4.7683579396107234e-07,140,8.344646857949556e-07,0.21869695186580884,minima-saddle,1.3113002523823525e-06,1,1.0,9,1,0.0001
4.7683579396107234e-07,141,9.536738616588991e-07,0.2186970710749847,saddle-saddle,1.1920917586394353e-07,24,1.0,4,24,0.0035
4.7683579396107234e-07,142,2.5629668016335927e-05,0.21872174706913938,minima-saddle,5.245061402092688e-06,2,1.0,1,2,0.0003
4.7683579396107234e-07,143,2.9802276912960224e-06,0.21869909762881434,saddle-saddle,0.0,0,0.0,6,0,0.0
4.7683579396107234e-07,144,1.7881377516459906e-06,0.2186979055388747,minima-saddle,2.026552238021395e-06,1,1.0,1,1,0.0001
4.7683579396107234e-07,145,4.768370445162873e-07,0.21869659423816756,minima-saddle,7.152551688704989e-07,7,1.0,0,7,0.001
4.7683579396107234e-07,146,3.576278118089249e-07,0.21869647502893486,minima-saddle,4.768368739860307e-07,1,1.0,9,1,0.0001
4.7683579396107234e-07,147,2.7418097943154862e-06,0.21869885921091736,saddle-saddle,0.0,1,1.0,0,1,0.0001
4.7683579396107234e-07,148,4.768360213347478e-06,0.2187008857613364,minima-saddle,3.0994219741842244e-06,1,1.0,1,1,0.0001
4.7683579396107234e-07,149,2.3841830625315197e-06,0.21869850158418558,saddle-saddle,0.0,0,0.0,5,0,0.0
4.7683579396107234e-07,150,4.172316494077677e-06,0.21870028971761712,saddle-saddle,1.0013487553806044e-05,508,1.0,3,508,0.0711
4.7683579396107234e-07,151,6.556489552167477e-06,0.21870267389067521,saddle-saddle,3.2186239877773914e-06,8,1.0,1,8,0.001
4.7683579396107234e-07,152,5.364403477869928e-06,0.21870148180460092,saddle-saddle,0.0,5,1.0,7,5,0.0007
4.7683579396107234e-07,153,2.0503786799963564e-05,0.218716621187923,saddle-saddle,1.7881011444842443e-06,71,1.0,1,71,0.009
4.7683579396107234e-07,154,2.7418097943154862e-06,0.21869885921091736,saddle-saddle,2.3841789698053617e-07,1,1.0,0,1,0.0001
4.7683579396107234e-07,155,5.960446742392378e-06,0.21870207784786544,minima-saddle,1.7881270650832448e-06,1,1.0,1,1,0.0001
4.7683579396107234e-07,156,1.9073468138230965e-06,0.21869802474793687,saddle-saddle,1.1920906217710581e-07,13,1.0,0,13,0.0019
4.7683579396107234e-07,157,1.1920928244535389e-07,0.2186962366104055,minima-saddle,4.768369876728684e-07,1,1.0,8,1,0.0001
4.7683579396107234e-07,158,5.960462772236497e-07,0.21869671344740027,minima-saddle,9.536732363812916e-07,1,1.0,9,1,0.0001
4.7683579396107234e-07,159,1.311301275563892e-06,0.2186974287023986,minima-saddle,1.5497175809287e-06,4,1.0,7,4,0.0005
4.7683579396107234e-07,160,1.4305104514278355e-06,0.21869754791157447,saddle-saddle,4.7683636239526095e-07,71,1.0,6,71,0.0103
4.7683579396107234e-07,161,1.3589766240329482e-05,0.21870970716736338,saddle-saddle,3.576233211788349e-07,0,0.0,7,0,0.0
4.7683579396107234e-07,162,3.2186455882765586e-06,0.21869933604671132,saddle-saddle,1.1920906217710581e-07,21,1.0,0,21,0.003
