dataset,split,model,epoch,layer,tensor_path,k_neighbors,num_points,num_classes,intra_class_mean_distance,inter_class_mean_distance,intra_inter_distance_ratio,centroid_mean_separation,centroid_min_separation,neighborhood_purity,knn_accuracy,neighbourhood_purity_15,knn_accuracy_15,neighbourhood_purity_20,knn_accuracy_20,neighbourhood_purity_25,knn_accuracy_25,neighbourhood_purity_30,knn_accuracy_30,neighbourhood_purity_35,knn_accuracy_35,neighbourhood_purity_40,knn_accuracy_40,neighbourhood_purity_45,knn_accuracy_45,neighbourhood_purity_60,knn_accuracy_60,neighbourhood_purity_80,knn_accuracy_80,train_acc,val_acc
cifar,trainUval,densenet,0,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\trainUval\a1_e0.pt,5,60000,10,,,,,,,,0.2725127851359552,0.4188,0.265935642083574,0.4203833333333333,0.2609129971576706,0.4192,0.2568511251714544,0.4194833333333333,0.253469894123076,0.4181833333333333,0.2504389557105325,0.4152333333333333,0.2477741584595102,0.4142333333333333,0.2412705600469353,0.4086666666666667,0.2351008484413631,0.40555,0.09992,0.0998
cifar,trainUval,densenet,12,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\trainUval\a1_e12.pt,5,60000,10,,,,,,,,0.6415258719704404,0.7672333333333333,0.6366631138206896,0.76735,0.6330261433035407,0.76855,0.6300982741709847,0.7683833333333333,0.6273301236708089,0.76725,0.6249282809653559,0.7673166666666666,0.6227316452933339,0.7668666666666667,0.6173825564952362,0.7656833333333334,0.61158157662913,0.76365,0.74626,0.7048
cifar,trainUval,densenet,141,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\trainUval\a1_e141.pt,5,60000,10,,,,,,,,0.9650978218318466,0.9791166666666666,0.9649008687922788,0.9791,0.9648034967833812,0.9790166666666666,0.964730847607274,0.9790333333333332,0.9646356585488048,0.9790833333333332,0.9645354382854824,0.979,0.9644285886631914,0.97915,0.9642259726131216,0.9791,0.9640946719246578,0.9790666666666666,0.99984,0.8746
cifar,trainUval,densenet,163,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\trainUval\a1_e163.pt,5,60000,10,,,,,,,,0.8971622870595707,0.9493833333333334,0.8945220395781541,0.9494166666666668,0.8925086054139466,0.9489666666666666,0.8909057586223001,0.9489833333333332,0.88947816870402,0.9489166666666666,0.8881254916029384,0.9484333333333334,0.8869376404275847,0.9481833333333334,0.8840636130741,0.9481666666666668,0.8808896968905218,0.9474,0.95574,0.8391
cifar,trainUval,densenet,185,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\trainUval\a1_e185.pt,5,60000,10,,,,,,,,0.9156292959875146,0.9575333333333332,0.9138089355360496,0.9573166666666668,0.912272019828834,0.9569166666666666,0.9108995739151526,0.9567333333333332,0.9098345888648368,0.9567,0.9089285639108912,0.9563,0.9080764741291546,0.9560666666666666,0.905880080758331,0.95575,0.9035566071472692,0.9555333333333332,0.96006,0.8409
cifar,trainUval,densenet,26,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\trainUval\a1_e26.pt,5,60000,10,,,,,,,,0.7876414721753014,0.88445,0.7836885317609433,0.8856166666666667,0.7802523104927194,0.8862666666666666,0.7776618082758573,0.8866333333333334,0.7752811309235323,0.8868,0.773137725786635,0.8870833333333333,0.7712381193130037,0.8868166666666667,0.7663218876956082,0.8867833333333334,0.7609313305325197,0.8872666666666666,0.92282,0.8139
cifar,trainUval,densenet,48,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\trainUval\a1_e48.pt,5,60000,10,,,,,,,,0.842804719538732,0.9250333333333334,0.8393830507906087,0.92575,0.8362070624547789,0.9258333333333332,0.8336748217695863,0.9254833333333332,0.8312795930720569,0.9254166666666668,0.8292152256196367,0.9253833333333332,0.8274017523163523,0.9251333333333334,0.8228145452093963,0.9252,0.8176550202479883,0.9242833333333332,0.94812,0.8284
cifar,trainUval,densenet,7,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\trainUval\a1_e7.pt,5,60000,10,,,,,,,,0.6241442926153999,0.7506166666666667,0.6191248529454348,0.7517333333333334,0.6155804994902832,0.7528333333333334,0.6126041996699155,0.7533833333333333,0.6099427468912993,0.7538166666666667,0.6076256201210288,0.7536666666666667,0.6056157206427373,0.7532833333333333,0.6005663114278369,0.7521,0.5952365843650193,0.7522,0.7675,0.7185
cifar,trainUval,densenet,91,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\trainUval\a1_e91.pt,5,60000,10,,,,,,,,0.884619909713085,0.9466666666666668,0.8816927349696525,0.9471166666666668,0.8789897200684725,0.9469333333333332,0.8769103022367905,0.9475,0.8749550807504504,0.9471666666666668,0.8732955429049146,0.9470833333333334,0.8716288303220305,0.947,0.8676576295217533,0.9465833333333332,0.8635390015673773,0.9458833333333332,0.96008,0.8328
cifar,train,densenet,111,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\train\a1_e111.pt,5,50000,10,,,,,,,,,,,,,,,,,,,,,,,,,,0.98726,0.8496
