dataset,randomness,split,model,epoch,layer,tensor_path,k_neighbors,num_points,num_classes,intra_class_mean_distance,inter_class_mean_distance,intra_inter_distance_ratio,centroid_mean_separation,centroid_min_separation,neighborhood_purity,knn_accuracy,neighbourhood_purity_20,knn_accuracy_20,train_acc,val_acc
cifar,0.9,train,resnet,200,a2,,,50000,10,,,,,,,,0.3415282673934903,0.53306,0.92046,0.158
cifar,1.0,val,resnet,200,a1,,,10000,10,,,,,,,,0.2107224658166222,0.3863,,
cifar,0.0,val,vgg,200,a6,,,10000,10,,,,,,,,0.2155951946496389,0.2683,,
cifar,0.1,train,vgg,200,a2,,,50000,10,,,,,,,,0.9089190357106391,0.94622,0.98082,0.8442
cifar,0.15,train,vgg,200,a5,,,50000,10,,,,,,,,0.3647998419596696,0.43882,0.96344,0.8114
cifar,0.2,trainUval,vgg,200,a1,,,60000,10,,,,,,,,0.7694331936434781,0.8533833333333334,0.9542,0.79
cifar,0.25,trainUval,vgg,200,a4,,,60000,10,,,,,,,,0.5472027090163086,0.6791333333333334,0.94366,0.7326
cifar,0.3,trainUval,vgg,200,a7,,,60000,10,,,,,,,,0.2535951235491723,0.36235,0.92966,0.7058
cifar,0.35,val,vgg,200,a3,,,10000,10,,,,,,,,0.5469962746088782,0.7495,0.90418,0.6512
cifar,0.4,val,vgg,200,a6,,,10000,10,,,,,,,,0.2019760240098695,0.2468,0.89634,0.6153
cifar,0.5,train,vgg,200,a2,,,50000,10,,,,,,,,0.5915165056073522,0.74188,0.86394,0.5262
cifar,0.6,train,vgg,200,a5,,,50000,10,,,,,,,,0.3577816416398144,0.46924,0.8331,0.4654
cifar,0.7,trainUval,vgg,200,a1,,,60000,10,,,,,,,,0.2962513644018544,0.4764,0.82944,0.3394
cifar,0.8,trainUval,vgg,200,a4,,,60000,10,,,,,,,,0.3976923661165448,0.5952833333333334,0.81076,0.2388
cifar,0.9,trainUval,vgg,200,a7,,,60000,10,,,,,,,,0.2535951235491723,0.36235,0.68164,0.1617
cifar,1.0,val,vgg,200,a3,,,10000,10,,,,,,,,0.2210405575292898,0.3544,,
cifar,0.0,val,densenet,200,a5,,,10000,10,,,,,,,,0.5386486910875796,0.7645,,
cifar,0.05,val,densenet,200,a5,,,10000,10,,,,,,,,0.5206077478948499,0.7493,0.99688,0.8074
cifar,0.1,val,densenet,200,a5,,,10000,10,,,,,,,,0.5049089191181644,0.7312,0.9955,0.7726
cifar,0.15,val,densenet,200,a5,,,10000,10,,,,,,,,0.4991719626879572,0.735,0.99446,0.7457
cifar,0.2,val,densenet,200,a5,,,10000,10,,,,,,,,0.4811578058184654,0.7133,0.9943,0.7188
cifar,0.25,val,densenet,200,a5,,,10000,10,,,,,,,,0.4664243175283012,0.7025,0.99266,0.6933
cifar,0.3,val,densenet,200,a5,,,10000,10,,,,,,,,0.4614096364041139,0.6945,0.99006,0.6528
cifar,0.35,val,densenet,200,a5,,,10000,10,,,,,,,,0.4413767305091676,0.6725,0.99074,0.6086
cifar,0.4,val,densenet,200,a5,,,10000,10,,,,,,,,0.4392791632657311,0.6736,0.98562,0.5638
cifar,0.45,val,densenet,200,a5,,,10000,10,,,,,,,,0.4259805459777082,0.6591,0.98492,0.5336
