dataset,randomness,split,model,epoch,layer,tensor_path,k_neighbors,num_points,num_classes,intra_class_mean_distance,inter_class_mean_distance,intra_inter_distance_ratio,centroid_mean_separation,centroid_min_separation,neighborhood_purity,knn_accuracy,neighbourhood_purity_20,knn_accuracy_20,train_acc,val_acc
mnist,0.2,train,densenet,200,a5,,,60000,10,,,,,,,,0.936437381383811,0.9775166666666668,0.9991333333333333,0.8578
mnist,0.25,train,densenet,200,a5,,,60000,10,,,,,,,,0.9322246170716596,0.97615,0.9981,0.8267
mnist,0.3,train,densenet,200,a5,,,60000,10,,,,,,,,0.9291004272538652,0.9744833333333334,0.9965,0.7857
mnist,0.35,train,densenet,200,a5,,,60000,10,,,,,,,,0.9260093998268324,0.9741333333333332,0.9922666666666666,0.735
mnist,0.4,train,densenet,200,a5,,,60000,10,,,,,,,,0.9242904618249757,0.9735333333333334,0.9890333333333333,0.7028
mnist,0.45,train,densenet,200,a5,,,60000,10,,,,,,,,0.921637056794418,0.9721833333333332,0.98165,0.6491
mnist,0.5,train,densenet,200,a5,,,60000,10,,,,,,,,0.9191693270268506,0.972,0.9771333333333333,0.5933
mnist,0.6,train,densenet,200,a5,,,60000,10,,,,,,,,0.911734237860118,0.9698,0.9523333333333334,0.5088
mnist,0.7,train,densenet,200,a5,,,60000,10,,,,,,,,0.9025976504684908,0.9667833333333332,0.9321833333333334,0.4065
mnist,0.8,train,densenet,200,a5,,,60000,10,,,,,,,,0.8932296271832434,0.9639833333333332,0.89575,0.3115
mnist,0.9,train,densenet,200,a5,,,60000,10,,,,,,,,0.8897133895911784,0.9621666666666666,0.8673833333333333,0.2009
mnist,1.0,train,densenet,200,a5,,,60000,10,,,,,,,,0.8875653282783086,0.96275,,
mnist,0.0,train,resnet,200,a5,,,60000,10,,,,,,,,0.9396309944133028,0.9793833333333334,,
mnist,0.05,val,resnet,200,a4,,,10000,10,,,,,,,,0.9147959840839384,0.9712,0.9999833333333333,0.9641
mnist,0.15,trainUval,resnet,200,a3,,,70000,10,,,,,,,,0.9507360011758608,0.9817571428571428,1.0,0.9112
mnist,0.25,train,resnet,200,a2,,,60000,10,,,,,,,,0.9437338450456356,0.9782,0.9999666666666667,0.8423
mnist,0.3,val,resnet,200,a1,,,10000,10,,,,,,,,0.8597285105415138,0.9374,0.9999,0.8042
mnist,0.4,train,resnet,200,a5,,,60000,10,,,,,,,,0.9331845544975848,0.9768166666666668,0.9999,0.7172
