dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,missing_coless,average_branching_factor,colless_index,missing_colless,total_cophenetic_index,sackin_index,train_acc,val_acc
cifar,trainUval,resnet,20,30,a1,0.0003739756066352129,valley=classes,20,1,1.9,52.0,1,144.0,58.0,0.97678,0.7454
cifar,trainUval,resnet,20,33,a1,0.0006696316413581371,valley=classes,20,1,1.9,40.0,1,128.0,54.0,0.98052,0.7376
cifar,trainUval,resnet,20,36,a1,0.0001748900394886732,valley=classes,20,1,1.9,62.0,1,156.0,61.0,0.97656,0.737
cifar,trainUval,resnet,20,39,a1,5.947925092186779e-05,valley=classes,20,1,1.9,40.0,1,110.0,52.0,0.97666,0.7365
cifar,trainUval,resnet,20,3,a1,0.2256157398223877,valley=classes,20,1,1.9,64.0,1,160.0,62.0,0.64486,0.6114
cifar,trainUval,resnet,20,42,a1,7.365865167230368e-05,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.9776,0.7333
cifar,trainUval,resnet,20,45,a1,3.075503263971768e-05,valley=classes,20,1,1.9,52.0,1,146.0,58.0,0.98306,0.742
cifar,trainUval,resnet,20,48,a1,1.8474223907105625e-05,valley=classes,20,1,1.9,52.0,1,146.0,58.0,0.97982,0.7308
cifar,trainUval,resnet,20,6,a1,0.14266079664230347,valley=classes,20,1,1.9,50.0,1,140.0,57.0,0.78514,0.692
cifar,trainUval,resnet,20,9,a1,0.053159382194280624,valley=classes,20,1,1.9,60.0,1,151.0,60.0,0.88314,0.7137
cifar,val,resnet,20,0,a1,0.8295400142669678,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.1,0.1
cifar,val,resnet,20,12,a1,0.004068471025675535,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.93352,0.7355
cifar,val,resnet,20,15,a1,0.005945734679698944,valley=classes,20,1,1.9,48.0,1,133.0,56.0,0.9403,0.7192
cifar,val,resnet,20,18,a1,0.004500140435993671,valley=classes,20,1,1.9,64.0,1,160.0,62.0,0.95238,0.7201
cifar,val,resnet,20,21,a1,0.006285304669290781,valley=classes,20,1,1.9,66.0,1,163.0,63.0,0.96878,0.7343
